EAN,Quantity,Price
9780132693233,22,$26.08
9780132737968,19,$87.8
9780132770989,3,$61.8
9780132773706,7,$71.37
9780132777230,7,$6.09
9780132784023,19,$3.25
9780132786003,8,$40.45
9780132837798,3,$54.07
9780132837804,6,$67.01
9780132840149,5,$37.06
9780132851015,4,$28.43
9780132851039,4,$40.08
9780132853422,7,$44.47
9780132868594,46,$20.96
9780132877244,5,$50.8
9780132883672,3,$6.24
9780132902236,8,$30.09
9780132907118,38,$52.27
9780132942881,7,$57.69
9780132943260,6,$50.63
9780132948937,6,$20.77
9780133041941,7,$29.98
9780133061635,6,$32.05
9780133066791,3,$29.97
9780133092080,10,$16.44
9780133095319,11,$21.45
9780133109894,5,$60.07
9780133110494,49,$25.36
9780133127645,27,$56.24
9780133128741,8,$73.98
9780133139051,9,$21.19
9780133250121,7,$57.29
9780133254488,8,$74.97
9780133347777,3,$55.13
9780133351774,31,$49.16
9780133351897,16,$52.19
9780133351941,49,$48.44
9780133356717,18,$96.69
9780133356816,27,$94.23
9780133366440,9,$10.11
9780133406788,15,$63.09
9780133424744,38,$33.17
9780133427226,44,$28.24
9780133439793,24,$38.49
9780133449815,9,$28.73
9780133451863,6,$36.97
9780133459999,9,$6.03
9780133479522,14,$71.1
9780133485967,10,$112.37
9780133486872,35,$65.34
9780133488470,8,$38.26
9780133488999,15,$107.38
9780133493863,5,$44.47
9780133495485,10,$24.15
9780133495652,8,$40.95
9780133496598,14,$63.64
9780133499612,8,$85.98
9780133506884,50,$50.27
9780133506976,5,$23.9
9780133512571,17,$45.98
9780133514407,34,$53.31
9780133519211,9,$35.36
9780133519235,13,$32.4
9780133544619,72,$109.97
9780133549485,17,$43.46
9780133549584,9,$13.83
9780133549690,98,$48.39
9780133564433,4,$30.79
9780133571769,23,$71.18
9780133574296,38,$27.01
9780133579284,16,$37.22
9780133587586,25,$14.53
9780133587593,16,$25.25
9780133587944,11,$21.81
9780133591194,40,$80.15
9780133591217,43,$72.49
9780133591309,27,$27.04
9780133591620,4,$57.29
9780133594140,29,$78.03
9780133594973,27,$39.56
9780133598339,4,$43.66
9780133599381,10,$38.4
9780133744057,3,$75.7
9780133745825,9,$43.14
9780133752434,4,$16.24
9780133753820,109,$48.74
9780133753837,14,$47.11
9780133753981,72,$42.01
9780133754001,25,$62.81
9780133754056,23,$79.38
9780133754261,19,$18.59
9780133754643,10,$70.33
9780133760637,11,$106.96
9780133762754,36,$63.99
9780133762778,21,$31.95
9780133764185,49,$75.64
9780133767209,86,$66.02
9780133767698,6,$60.87
9780133768084,13,$36.92
9780133768404,6,$10.79
9780133769395,4,$54.26
9780133778847,37,$87.48
9780133780581,4,$69.13
9780133791853,30,$79.93
9780133792249,49,$17.95
9780133792423,131,$88.08
9780133792454,33,$16.3
9780133795028,3,$50.35
9780133797190,18,$81.45
9780133798074,7,$98.02
9780133798258,15,$115.92
9780133801316,110,$34.96
9780133802450,71,$22.38
9780133802467,23,$49.2
9780133802580,56,$51.6
9780133802665,18,$22.1
9780133802764,45,$54.63
9780133802917,27,$54.63
9780133803877,27,$37.44
9780133807721,9,$48.31
9780133815245,24,$41.37
9780133815436,8,$17.9
9780133822533,20,$41.02
9780133826289,10,$24.57
9780133833867,15,$60.9
9780133834918,14,$40.04
9780133836790,152,$102.47
9780133840544,57,$93.69
9780133842746,46,$32.9
9780133843286,52,$37.79
9780133843750,10,$59.55
9780133846553,67,$44.64
9780133846577,24,$26.98
9780133852035,21,$96.85
9780133852059,41,$108.36
9780133853360,17,$53.28
9780133856439,5,$81.67
9780133856781,33,$14.98
9780133859386,17,$55.68
9780133859591,17,$37.55
9780133859805,18,$78.6
9780133863307,34,$51.26
9780133864649,35,$27.9
9780133864717,36,$37.96
9780133865646,23,$28.0
9780133866339,50,$56.82
9780133866698,13,$32.46
9780133867541,37,$69.1
9780133868418,72,$17.05
9780133869804,28,$64.39
9780133871777,27,$90.28
9780133872132,8,$66.88
9780133872293,26,$28.53
9780133872644,15,$68.74
9780133873214,5,$64.39
9780133875829,51,$64.8
9780133876703,9,$95.2
9780133877700,46,$57.44
9780133878295,26,$77.76
9780133878806,4,$31.74
9780133879872,23,$81.79
9780133882285,29,$47.99
9780133884869,10,$58.21
9780133884876,24,$48.47
9780133886757,5,$63.93
9780133887518,7,$72.0
9780133889208,3,$77.57
9780133889567,41,$33.88
9780133892307,3,$53.07
9780133895728,150,$87.55
9780133905205,54,$58.67
9780133908374,25,$17.56
9780133909593,60,$44.73
9780133910117,49,$60.46
9780133910605,7,$101.2
9780133911268,28,$41.41
9780133914740,4,$9.75
9780133915389,103,$105.57
9780133915426,27,$106.2
9780133917772,8,$67.39
9780133917789,67,$62.13
9780133918922,180,$86.34
9780133923001,59,$105.21
9780133923605,47,$84.78
9780133925852,25,$27.15
9780133934458,14,$56.17
9780133936544,279,$86.63
9780133936629,20,$75.61
9780133936728,105,$80.12
9780133936735,313,$98.48
9780133938951,15,$103.23
9780133942651,35,$111.32
9780133943023,8,$68.99
9780133943030,13,$80.13
9780133943306,34,$58.86
9780133947441,3,$45.44
9780133948271,74,$72.3
9780133948417,81,$46.51
9780133949520,7,$19.89
9780133956764,26,$68.75
9780133957051,21,$62.32
9780133966152,28,$7.76
9780133970555,14,$27.98
9780133970746,36,$29.24
9780133970777,7,$74.41
9780133970784,6,$59.33
9780133974362,17,$54.03
9780133974584,41,$87.39
9780133974850,3,$23.27
9780133978049,12,$63.68
9780133985078,23,$53.01
9780133986693,19,$20.29
9780133993332,17,$3.38
9780133994612,14,$77.95
9780133996333,242,$22.74
9780133997439,12,$44.6
9780133998641,10,$51.38
9780133998986,27,$22.38
9780133999310,14,$29.04
9780134000404,3,$16.46
9780134001876,18,$34.78
9780134003566,106,$57.03
9780134004006,91,$86.81
9780134004860,3,$53.73
9780134005690,32,$90.27
9780134008974,8,$42.21
9780134011271,59,$87.93
9780134011899,23,$76.77
9780134014012,23,$83.07
9780134014180,15,$55.74
9780134014890,15,$62.32
9780134015187,42,$89.95
9780134016191,3,$36.74
9780134018959,6,$15.14
9780134018973,17,$10.77
9780134019192,29,$105.75
9780134020655,35,$39.7
9780134021676,49,$64.98
9780134021683,3,$39.28
9780134021690,24,$27.9
9780134024554,18,$52.93
9780134025094,37,$56.84
9780134025544,8,$33.73
9780134027319,6,$71.19
9780134029320,4,$27.77
9780134033099,28,$50.0
9780134033167,30,$37.96
9780134037325,18,$41.1
9780134038179,16,$78.75
9780134038940,60,$70.56
9780134039558,4,$61.68
9780134041360,29,$37.17
9780134041674,7,$66.56
9780134042237,7,$100.53
9780134042275,49,$45.99
9780134042282,111,$99.4
9780134042428,29,$99.45
9780134042435,66,$96.93
9780134045443,39,$96.89
9780134047799,83,$69.99
9780134053387,6,$12.6
9780134054285,8,$36.93
9780134054292,8,$48.27
9780134055732,7,$73.17
9780134056814,3,$21.13
9780134056982,31,$41.12
9780134058962,35,$81.18
9780134059068,54,$74.26
9780134060330,21,$31.8
9780134060354,7,$71.9
9780134060484,12,$106.41
9780134060491,101,$100.89
9780134064451,5,$77.76
9780134064468,17,$50.19
9780134065823,50,$145.46
9780134066264,7,$14.13
9780134066271,8,$21.84
9780134066288,4,$25.5
9780134070254,45,$28.53
9780134071558,90,$42.27
9780134071763,15,$30.42
9780134072944,3,$90.09
9780134073545,83,$81.75
9780134073644,3,$35.1
9780134073811,23,$52.56
9780134073828,12,$49.79
9780134074030,9,$113.59
9780134074252,88,$80.82
9780134078779,3,$79.86
9780134078816,12,$107.55
9780134078847,11,$107.19
9780134078878,4,$106.21
9780134080215,81,$79.67
9780134080376,7,$37.08
9780134080383,30,$51.66
9780134080413,13,$26.28
9780134080918,16,$101.24
9780134081809,149,$96.45
9780134082561,32,$89.37
9780134082578,40,$142.74
9780134083247,5,$123.66
9780134083278,10,$87.72
9780134083285,39,$102.52
9780134083308,19,$129.42
9780134085043,29,$54.0
9780134085968,9,$12.92
9780134087658,26,$163.2
9780134087702,37,$51.8
9780134087924,3,$38.6
9780134089027,6,$30.63
9780134089034,13,$110.66
9780134089089,29,$65.87
9780134089591,71,$22.36
9780134091419,6,$26.77
9780134092669,15,$75.15
9780134093413,20,$69.86
9780134093987,8,$45.57
9780134094038,24,$68.3
9780134098630,121,$47.73
9780134098845,28,$79.36
9780134101972,7,$24.8
9780134101989,6,$49.62
9780134102719,18,$2.0
9780134103976,36,$142.05
9780134103983,86,$109.84
9780134105598,19,$90.43
9780134105840,22,$92.35
9780134106229,57,$117.09
9780134110370,86,$40.6
9780134111315,11,$103.38
9780134111704,18,$31.3
9780134111711,4,$32.0
9780134112107,123,$77.61
9780134112527,14,$89.5
9780134112831,233,$112.5
9780134115276,15,$79.11
9780134115764,27,$74.2
9780134115856,7,$95.13
9780134117010,94,$60.6
9780134117904,67,$57.9
9780134117959,8,$59.35
9780134118499,105,$68.36
9780134119243,88,$53.34
9780134119267,15,$116.01
9780134119281,46,$94.64
9780134119519,6,$32.37
9780134119700,10,$13.8
9780134120133,37,$53.93
9780134120690,19,$42.84
9780134120706,29,$35.55
9780134121956,63,$58.45
9780134123066,26,$27.5
9780134123073,53,$29.45
9780134123509,55,$46.53
9780134125053,19,$86.11
9780134127620,66,$96.79
9780134128634,17,$74.07
9780134129938,13,$124.29
9780134129952,17,$14.62
9780134129969,63,$48.7
9780134130187,44,$28.38
9780134130408,8,$88.56
9780134130422,115,$139.14
9780134133058,11,$15.9
9780134134406,24,$59.52
9780134135366,23,$51.79
9780134138046,59,$95.76
9780134139869,31,$43.58
9780134139883,7,$35.9
9780134140186,8,$34.46
9780134145594,119,$84.36
9780134146355,19,$12.4
9780134146386,43,$81.57
9780134146775,3,$45.15
9780134149530,82,$102.33
9780134151922,10,$79.01
9780134152196,64,$52.66
9780134156323,4,$87.88
9780134156415,62,$102.68
9780134157245,6,$18.41
9780134158204,6,$49.02
9780134159386,27,$99.81
9780134160375,5,$48.38
9780134161020,75,$11.23
9780134161143,5,$84.33
9780134161785,4,$19.83
9780134161792,11,$61.29
9780134162355,12,$79.13
9780134163734,23,$74.97
9780134163741,47,$63.13
9780134163758,32,$66.88
9780134164113,47,$78.75
9780134165783,10,$49.77
9780134166995,6,$56.0
9780134167220,29,$78.26
9780134167404,20,$111.87
9780134167541,21,$65.93
9780134167602,34,$35.95
9780134167879,5,$84.85
9780134168296,28,$89.75
9780134168975,54,$77.67
9780134169781,54,$10.21
9780134169804,15,$103.32
9780134169859,3,$90.54
9780134169880,24,$71.49
9780134169972,19,$75.29
9780134169996,17,$28.17
9780134170114,42,$79.67
9780134170428,74,$76.23
9780134170718,7,$81.81
9780134172408,5,$54.61
9780134172828,43,$52.86
9780134175096,22,$88.55
9780134178059,8,$91.88
9780134178943,18,$92.97
