EAN,Quantity,Price,created_date
9.78003E+12,3,38.96,12/29/16 7:13
9.78006E+12,6,40.69,12/29/16 7:13
9.78006E+12,5,21.58,12/29/16 7:13
9.78006E+12,9,6.33,12/29/16 7:13
9.78006E+12,5,4.15,12/29/16 7:13
9.78006E+12,106,7.9,12/29/16 7:13
9.78007E+12,6,65.65,12/29/16 7:13
9.78007E+12,34,34.1,12/29/16 7:13
9.78007E+12,4,14.62,12/29/16 7:13
